student_id,cohort,group,topic,misconception_pre,misconception_post,pretest_score,posttest_score,confidence_rating
39,high_school,standard,cell_structure,1,1,0.56,0.62,4
40,college,standard,cell_structure,1,0,0.4,0.43,4
41,high_school,standard,cell_structure,0,0,0.3,0.37,2
42,high_school,standard,cell_structure,1,1,0.67,0.8,3
43,high_school,standard,cell_structure,1,0,0.58,0.65,2
44,high_school,standard,cell_structure,1,0,0.34,0.47,4
45,high_school,standard,cell_structure,1,0,0.41,0.48,4
46,high_school,standard,cell_structure,0,1,0.5,0.63,2
47,high_school,standard,cell_structure,1,1,0.3,0.4,4
48,high_school,standard,cell_structure,1,0,0.52,0.49,3
49,high_school,standard,cell_structure,0,0,0.36,0.34,4
50,high_school,standard,cell_structure,0,0,0.32,0.34,3
51,high_school,standard,cell_structure,1,0,0.65,0.79,3
52,college,standard,cell_structure,1,1,0.62,0.61,5
53,high_school,standard,cell_structure,0,1,0.67,0.78,3
54,high_school,standard,cell_structure,0,1,0.65,0.77,3
55,high_school,standard,cell_structure,0,1,0.63,0.75,3
56,high_school,standard,cell_structure,1,1,0.65,0.79,4
57,high_school,standard,cell_structure,1,0,0.64,0.66,2
58,high_school,standard,cell_structure,0,1,0.69,0.69,2
59,high_school,standard,cell_structure,1,0,0.47,0.62,2
60,high_school,standard,cell_structure,1,1,0.58,0.53,3
61,high_school,enriched,cell_structure,1,0,0.43,0.54,2
62,high_school,enriched,cell_structure,1,0,0.46,0.59,4
63,high_school,enriched,cell_structure,1,0,0.45,0.65,3
64,high_school,enriched,cell_structure,1,0,0.3,0.41,5
65,high_school,enriched,cell_structure,0,0,0.48,0.67,5
66,high_school,enriched,cell_structure,0,0,0.56,0.67,4
67,high_school,enriched,cell_structure,0,1,0.42,0.63,3
68,high_school,enriched,cell_structure,1,0,0.64,0.7,5
69,college,enriched,cell_structure,1,0,0.45,0.58,3
70,high_school,enriched,cell_structure,1,0,0.61,0.68,5
71,high_school,enriched,cell_structure,0,0,0.49,0.65,2
72,high_school,enriched,cell_structure,0,0,0.7,0.87,5
73,high_school,enriched,cell_structure,0,0,0.63,0.79,3
74,high_school,enriched,cell_structure,1,1,0.4,0.58,5
75,high_school,enriched,cell_structure,1,1,0.41,0.51,4
76,college,enriched,cell_structure,1,1,0.45,0.53,3
77,high_school,enriched,cell_structure,1,0,0.47,0.56,5
78,high_school,enriched,cell_structure,0,0,0.31,0.54,5
79,high_school,enriched,cell_structure,0,1,0.46,0.69,5
80,high_school,enriched,cell_structure,0,0,0.66,0.81,4
81,high_school,enriched,cell_structure,1,0,0.57,0.7,3
82,college,enriched,cell_structure,0,0,0.51,0.74,2
83,high_school,enriched,cell_structure,1,0,0.37,0.47,4
84,high_school,enriched,cell_structure,1,0,0.45,0.65,5
85,high_school,enriched,cell_structure,1,1,0.52,0.77,4
86,high_school,enriched,cell_structure,1,0,0.32,0.38,3
87,high_school,enriched,cell_structure,1,1,0.35,0.53,3
88,high_school,enriched,cell_structure,1,0,0.54,0.78,2
89,high_school,enriched,cell_structure,1,0,0.53,0.77,5
90,high_school,enriched,cell_structure,0,1,0.58,0.76,2
91,high_school,enriched,cell_structure,1,0,0.62,0.83,2
92,high_school,enriched,cell_structure,1,0,0.5,0.62,5
93,college,enriched,cell_structure,1,0,0.55,0.77,3
94,high_school,enriched,cell_structure,0,0,0.41,0.62,5
95,high_school,enriched,cell_structure,0,0,0.43,0.53,2
96,high_school,enriched,cell_structure,1,0,0.53,0.71,4
97,high_school,enriched,cell_structure,0,1,0.38,0.59,4
98,high_school,enriched,cell_structure,1,0,0.52,0.67,3
99,high_school,enriched,cell_structure,0,0,0.6,0.79,5
100,high_school,enriched,cell_structure,1,1,0.46,0.56,4
101,high_school,enriched,cell_structure,1,0,0.6,0.72,5
102,high_school,enriched,cell_structure,1,1,0.38,0.45,3
103,high_school,enriched,cell_structure,0,1,0.54,0.74,4
104,college,enriched,cell_structure,0,1,0.44,0.55,3
105,high_school,enriched,cell_structure,0,0,0.58,0.66,5
106,high_school,enriched,cell_structure,1,1,0.49,0.61,2
107,high_school,enriched,cell_structure,0,1,0.33,0.48,2
108,high_school,enriched,cell_structure,0,0,0.33,0.43,5
109,high_school,enriched,cell_structure,0,1,0.51,0.65,5
110,high_school,enriched,cell_structure,1,0,0.53,0.59,2
111,college,enriched,cell_structure,1,1,0.56,0.64,3
112,high_school,enriched,cell_structure,1,0,0.58,0.72,2
113,high_school,enriched,cell_structure,0,0,0.48,0.67,4
114,high_school,enriched,cell_structure,0,0,0.67,0.81,3
115,high_school,enriched,cell_structure,0,0,0.33,0.41,4
116,high_school,enriched,cell_structure,0,0,0.48,0.62,4
117,high_school,enriched,cell_structure,0,0,0.5,0.57,2
118,college,enriched,cell_structure,0,0,0.31,0.41,2
119,college,enriched,cell_structure,0,1,0.32,0.52,5
120,high_school,enriched,cell_structure,1,1,0.7,0.84,5
121,college,standard,central_dogma,1,1,0.43,0.4,3
122,high_school,standard,central_dogma,0,1,0.68,0.79,2
123,high_school,standard,central_dogma,1,1,0.69,0.72,2
124,high_school,standard,central_dogma,1,1,0.38,0.4,5
125,high_school,standard,central_dogma,0,1,0.52,0.66,5
126,college,standard,central_dogma,1,1,0.55,0.66,3
127,high_school,standard,central_dogma,1,1,0.39,0.51,2
128,high_school,standard,central_dogma,1,0,0.5,0.59,4
129,high_school,standard,central_dogma,1,1,0.48,0.46,3
130,college,standard,central_dogma,1,0,0.65,0.66,5
131,high_school,standard,central_dogma,0,1,0.3,0.4,5
132,college,standard,central_dogma,1,1,0.43,0.53,5
133,high_school,standard,central_dogma,1,1,0.58,0.64,3
134,college,standard,central_dogma,1,1,0.49,0.62,5
135,high_school,standard,central_dogma,0,0,0.69,0.74,2
136,high_school,standard,central_dogma,0,1,0.34,0.46,2
137,high_school,standard,central_dogma,1,0,0.46,0.54,3
138,high_school,standard,central_dogma,0,1,0.55,0.58,2
139,college,standard,central_dogma,0,0,0.45,0.46,5
140,college,standard,central_dogma,1,1,0.55,0.68,3
141,high_school,standard,central_dogma,1,1,0.55,0.67,5
142,high_school,standard,central_dogma,1,1,0.43,0.39,4
143,high_school,standard,central_dogma,1,1,0.53,0.64,3
144,high_school,standard,central_dogma,0,1,0.57,0.62,3
145,high_school,standard,central_dogma,0,1,0.57,0.7,5
146,college,standard,central_dogma,0,1,0.48,0.5,4
147,high_school,standard,central_dogma,1,1,0.64,0.63,5
148,college,standard,central_dogma,1,1,0.44,0.45,4
149,high_school,standard,central_dogma,0,1,0.3,0.42,2
150,college,standard,central_dogma,0,0,0.66,0.77,3
151,high_school,standard,central_dogma,1,0,0.55,0.64,3
152,high_school,standard,central_dogma,0,0,0.42,0.46,4
153,high_school,standard,central_dogma,1,1,0.6,0.59,3
154,high_school,standard,central_dogma,0,1,0.5,0.5,3
155,high_school,standard,central_dogma,0,1,0.62,0.72,4
156,college,standard,central_dogma,1,1,0.6,0.6,5
157,college,standard,central_dogma,0,1,0.62,0.57,2
158,high_school,standard,central_dogma,0,0,0.53,0.64,4
159,high_school,standard,central_dogma,1,1,0.65,0.71,3
160,high_school,standard,central_dogma,0,1,0.58,0.66,2
161,high_school,standard,central_dogma,0,1,0.5,0.47,3
162,high_school,standard,central_dogma,1,0,0.58,0.64,3
163,college,standard,central_dogma,0,0,0.55,0.69,4
164,high_school,standard,central_dogma,1,1,0.68,0.8,2
165,college,standard,central_dogma,1,0,0.56,0.52,4
166,high_school,standard,central_dogma,1,0,0.48,0.56,2
167,high_school,standard,central_dogma,1,0,0.61,0.6,3
168,high_school,standard,central_dogma,0,1,0.61,0.72,2
169,high_school,standard,central_dogma,0,0,0.52,0.63,2
170,high_school,standard,central_dogma,1,1,0.62,0.62,4
171,high_school,standard,central_dogma,1,1,0.47,0.44,2
172,high_school,standard,central_dogma,0,1,0.34,0.39,2
173,high_school,standard,central_dogma,0,0,0.42,0.5,2
174,high_school,standard,central_dogma,1,1,0.57,0.62,5
175,high_school,standard,central_dogma,1,0,0.33,0.34,4
176,high_school,standard,central_dogma,1,1,0.5,0.54,2
177,college,standard,central_dogma,0,0,0.59,0.58,5
178,college,standard,central_dogma,1,0,0.46,0.56,4
179,high_school,standard,central_dogma,0,1,0.36,0.49,2
180,high_school,standard,central_dogma,1,1,0.6,0.62,3
181,high_school,enriched,central_dogma,1,0,0.43,0.5,4
182,college,enriched,central_dogma,0,0,0.67,0.73,4
183,high_school,enriched,central_dogma,1,0,0.39,0.57,3
184,college,enriched,central_dogma,1,0,0.35,0.46,3
185,college,enriched,central_dogma,0,0,0.63,0.8,2
186,high_school,enriched,central_dogma,0,0,0.31,0.41,4
187,college,enriched,central_dogma,1,1,0.36,0.54,2
188,high_school,enriched,central_dogma,0,1,0.6,0.69,5
189,high_school,enriched,central_dogma,1,0,0.43,0.67,2
190,college,enriched,central_dogma,1,0,0.32,0.39,5
191,high_school,enriched,central_dogma,1,0,0.41,0.61,2
192,high_school,enriched,central_dogma,1,0,0.54,0.7,4
193,high_school,enriched,central_dogma,1,0,0.3,0.41,3
194,high_school,enriched,central_dogma,0,1,0.35,0.5,5
195,high_school,enriched,central_dogma,1,0,0.5,0.72,4
196,high_school,enriched,central_dogma,0,1,0.31,0.54,4
197,high_school,enriched,central_dogma,1,0,0.47,0.54,2
198,college,enriched,central_dogma,1,0,0.48,0.67,4
199,high_school,enriched,central_dogma,0,1,0.54,0.69,5
200,college,enriched,central_dogma,0,1,0.61,0.68,2
201,high_school,enriched,central_dogma,1,0,0.44,0.68,3
202,high_school,enriched,central_dogma,1,1,0.54,0.74,2
203,high_school,enriched,central_dogma,0,0,0.6,0.8,5
204,high_school,enriched,central_dogma,0,0,0.69,0.8,4
205,high_school,enriched,central_dogma,1,0,0.42,0.52,2
206,high_school,enriched,central_dogma,1,0,0.32,0.44,4
207,high_school,enriched,central_dogma,0,0,0.55,0.7,5
208,high_school,enriched,central_dogma,0,0,0.32,0.55,3
209,high_school,enriched,central_dogma,1,1,0.32,0.39,4
210,college,enriched,central_dogma,1,0,0.32,0.51,5
211,high_school,enriched,central_dogma,0,0,0.67,0.8,4
212,high_school,enriched,central_dogma,1,0,0.43,0.55,5
213,high_school,enriched,central_dogma,0,0,0.66,0.88,4
214,high_school,enriched,central_dogma,0,0,0.42,0.6,5
215,high_school,enriched,central_dogma,0,1,0.52,0.7,4
216,college,enriched,central_dogma,0,0,0.6,0.79,2
217,high_school,enriched,central_dogma,1,0,0.45,0.54,3
218,high_school,enriched,central_dogma,0,1,0.7,0.78,4
219,college,enriched,central_dogma,1,0,0.63,0.86,2
220,high_school,enriched,central_dogma,0,0,0.54,0.62,3
221,college,enriched,central_dogma,0,0,0.37,0.51,5
222,high_school,enriched,central_dogma,0,0,0.54,0.74,5
223,high_school,enriched,central_dogma,1,0,0.61,0.84,3
224,high_school,enriched,central_dogma,0,0,0.48,0.59,5
225,high_school,enriched,central_dogma,1,1,0.38,0.55,4
226,high_school,enriched,central_dogma,1,0,0.67,0.86,2
227,high_school,enriched,central_dogma,0,1,0.66,0.74,5
228,high_school,enriched,central_dogma,0,0,0.65,0.89,5
229,high_school,enriched,central_dogma,1,1,0.7,0.82,2
230,high_school,enriched,central_dogma,1,0,0.43,0.51,2
231,high_school,enriched,central_dogma,0,0,0.36,0.55,5
232,high_school,enriched,central_dogma,0,1,0.39,0.47,5
233,high_school,enriched,central_dogma,1,0,0.32,0.45,5
234,high_school,enriched,central_dogma,0,0,0.51,0.69,3
235,high_school,enriched,central_dogma,1,1,0.44,0.6,3
236,high_school,enriched,central_dogma,1,0,0.33,0.49,2
237,high_school,enriched,central_dogma,1,0,0.69,0.79,2
238,high_school,enriched,central_dogma,1,1,0.56,0.63,4
239,high_school,enriched,central_dogma,1,0,0.56,0.78,5
240,college,enriched,central_dogma,1,1,0.35,0.54,5
241,high_school,standard,life_cycle,1,0,0.65,0.66,4
242,high_school,standard,life_cycle,0,1,0.4,0.5,3
243,high_school,standard,life_cycle,0,1,0.56,0.56,4
244,high_school,standard,life_cycle,1,1,0.68,0.7,3
245,high_school,standard,life_cycle,1,0,0.51,0.62,5
246,high_school,standard,life_cycle,0,0,0.52,0.53,2
247,high_school,standard,life_cycle,1,1,0.59,0.57,5
248,high_school,standard,life_cycle,1,0,0.44,0.59,4
249,high_school,standard,life_cycle,0,1,0.57,0.6,3
250,college,standard,life_cycle,1,0,0.61,0.57,2
251,high_school,standard,life_cycle,0,1,0.68,0.64,3
252,high_school,standard,life_cycle,0,1,0.61,0.67,4
253,high_school,standard,life_cycle,0,1,0.35,0.45,5
254,high_school,standard,life_cycle,0,1,0.61,0.7,3
255,college,standard,life_cycle,1,0,0.5,0.47,2
256,high_school,standard,life_cycle,0,1,0.34,0.43,4
257,high_school,standard,life_cycle,0,1,0.42,0.43,3
258,high_school,standard,life_cycle,0,0,0.62,0.67,2
259,college,standard,life_cycle,0,1,0.5,0.52,4
260,high_school,standard,life_cycle,0,1,0.65,0.61,5
261,college,standard,life_cycle,0,1,0.61,0.72,2
262,high_school,standard,life_cycle,1,1,0.49,0.54,3
263,college,standard,life_cycle,0,0,0.37,0.51,5
264,high_school,standard,life_cycle,0,0,0.51,0.52,3
265,high_school,standard,life_cycle,0,1,0.68,0.81,2
266,high_school,standard,life_cycle,0,0,0.35,0.36,2
267,high_school,standard,life_cycle,1,0,0.36,0.44,4
268,college,standard,life_cycle,1,0,0.31,0.27,4
269,high_school,standard,life_cycle,0,1,0.56,0.61,4
270,high_school,standard,life_cycle,1,1,0.62,0.65,5
271,high_school,standard,life_cycle,1,1,0.49,0.48,3
272,high_school,standard,life_cycle,0,0,0.64,0.79,3
273,high_school,standard,life_cycle,1,1,0.4,0.37,5
274,high_school,standard,life_cycle,1,1,0.45,0.52,3
275,college,standard,life_cycle,0,0,0.67,0.76,3
276,high_school,standard,life_cycle,1,1,0.5,0.51,2
277,high_school,standard,life_cycle,1,1,0.4,0.47,2
278,high_school,standard,life_cycle,1,0,0.56,0.6,2
279,college,standard,life_cycle,1,0,0.59,0.69,4
280,high_school,standard,life_cycle,1,0,0.45,0.46,5
281,high_school,standard,life_cycle,0,1,0.7,0.79,2
282,high_school,standard,life_cycle,1,1,0.69,0.75,4
283,high_school,standard,life_cycle,1,1,0.5,0.46,3
284,high_school,standard,life_cycle,0,1,0.36,0.49,3
285,high_school,standard,life_cycle,0,1,0.7,0.8,4
286,high_school,standard,life_cycle,1,1,0.5,0.56,5
287,college,standard,life_cycle,1,0,0.69,0.76,2
288,high_school,standard,life_cycle,1,0,0.69,0.76,3
289,high_school,standard,life_cycle,1,1,0.55,0.62,5
290,high_school,standard,life_cycle,0,1,0.68,0.65,2
291,high_school,standard,life_cycle,1,1,0.38,0.43,5
292,college,standard,life_cycle,0,1,0.36,0.35,4
293,college,standard,life_cycle,1,1,0.68,0.72,4
294,high_school,standard,life_cycle,0,0,0.57,0.68,4
295,high_school,standard,life_cycle,1,1,0.52,0.51,4
296,high_school,standard,life_cycle,0,0,0.5,0.55,4
297,high_school,standard,life_cycle,1,1,0.66,0.69,4
298,college,standard,life_cycle,0,1,0.42,0.51,4
299,college,standard,life_cycle,0,0,0.39,0.51,4
300,college,standard,life_cycle,0,1,0.55,0.62,3
301,high_school,enriched,life_cycle,0,1,0.39,0.46,4
302,high_school,enriched,life_cycle,1,0,0.3,0.46,3
303,high_school,enriched,life_cycle,0,0,0.49,0.58,4
304,high_school,enriched,life_cycle,0,0,0.34,0.5,2
305,college,enriched,life_cycle,1,0,0.37,0.6,5
306,high_school,enriched,life_cycle,1,0,0.65,0.76,2
307,high_school,enriched,life_cycle,1,1,0.69,0.8,5
308,college,enriched,life_cycle,1,0,0.41,0.62,4
309,high_school,enriched,life_cycle,1,1,0.37,0.57,4
310,high_school,enriched,life_cycle,0,1,0.64,0.87,5
311,high_school,enriched,life_cycle,1,0,0.37,0.45,4
312,college,enriched,life_cycle,1,0,0.48,0.58,4
313,high_school,enriched,life_cycle,0,1,0.56,0.75,2
314,high_school,enriched,life_cycle,1,1,0.57,0.8,4
315,high_school,enriched,life_cycle,0,0,0.45,0.54,3
316,high_school,enriched,life_cycle,1,0,0.45,0.64,5
317,high_school,enriched,life_cycle,0,0,0.6,0.79,2
318,high_school,enriched,life_cycle,1,0,0.67,0.74,3
319,high_school,enriched,life_cycle,1,0,0.51,0.58,3
320,high_school,enriched,life_cycle,1,0,0.48,0.54,3
321,high_school,enriched,life_cycle,1,1,0.48,0.69,2
322,high_school,enriched,life_cycle,0,0,0.53,0.59,4
323,high_school,enriched,life_cycle,1,1,0.66,0.91,5
324,high_school,enriched,life_cycle,1,0,0.61,0.86,5
325,high_school,enriched,life_cycle,0,0,0.67,0.8,2
326,high_school,enriched,life_cycle,0,0,0.56,0.68,3
327,college,enriched,life_cycle,1,1,0.69,0.91,2
328,college,enriched,life_cycle,1,0,0.47,0.6,3
329,high_school,enriched,life_cycle,1,1,0.67,0.87,2
330,high_school,enriched,life_cycle,0,0,0.67,0.9,3
331,high_school,enriched,life_cycle,1,1,0.54,0.73,2
332,high_school,enriched,life_cycle,1,0,0.52,0.72,2
333,high_school,enriched,life_cycle,0,1,0.67,0.84,4
334,high_school,enriched,life_cycle,0,0,0.51,0.64,4
335,high_school,enriched,life_cycle,0,0,0.66,0.84,5
336,high_school,enriched,life_cycle,1,0,0.56,0.69,4
337,high_school,enriched,life_cycle,1,1,0.37,0.53,3
338,college,enriched,life_cycle,1,0,0.62,0.85,5
339,college,enriched,life_cycle,1,1,0.4,0.49,2
340,college,enriched,life_cycle,0,1,0.59,0.68,4
341,high_school,enriched,life_cycle,0,1,0.33,0.54,3
342,high_school,enriched,life_cycle,0,0,0.68,0.73,3
343,college,enriched,life_cycle,1,0,0.49,0.59,3
344,high_school,enriched,life_cycle,1,0,0.41,0.55,4
345,high_school,enriched,life_cycle,1,0,0.49,0.7,5
346,high_school,enriched,life_cycle,1,1,0.43,0.49,3
347,high_school,enriched,life_cycle,1,0,0.53,0.72,4
348,high_school,enriched,life_cycle,1,0,0.63,0.78,4
349,high_school,enriched,life_cycle,0,0,0.56,0.71,3
350,high_school,enriched,life_cycle,1,1,0.52,0.61,2
351,high_school,enriched,life_cycle,0,1,0.63,0.69,2
352,high_school,enriched,life_cycle,0,1,0.58,0.63,5
353,high_school,enriched,life_cycle,0,0,0.55,0.7,5
354,high_school,enriched,life_cycle,1,0,0.31,0.5,4
355,high_school,enriched,life_cycle,0,0,0.62,0.85,2
356,college,enriched,life_cycle,1,1,0.55,0.65,4
357,high_school,enriched,life_cycle,1,0,0.46,0.62,3
358,high_school,enriched,life_cycle,0,1,0.7,0.88,2
359,high_school,enriched,life_cycle,1,0,0.32,0.37,3
360,high_school,enriched,life_cycle,0,0,0.43,0.68,2
